feature,importance_mean,importance_std,p_value,significant_0_05
macro2,0.002152745777267556,5.1891418920501304e-05,8.778275182958162e-49,True
macro2_lag_1,0.0017235334243860098,4.910277494209315e-05,1.1141072484746384e-46,True
firm2,0.00045749634939261933,2.3120109893817803e-05,1.7984130105469496e-39,True
firm1,0.0002666426496699225,1.7692224788489003e-05,4.709003282584819e-36,True
firm3,7.226633629606028e-05,1.262584993663479e-05,5.1302373269938446e-24,True
firm1_lag_1,4.2365186423398405e-05,6.17125703903509e-06,2.9893473654519315e-26,True
firm2*macro2,3.8425621298332374e-05,4.238993795699269e-06,1.068722226717772e-29,True
firm2_lag_1,3.707772102194586e-05,4.8626473996822185e-06,1.5033949732500904e-27,True
price_log_ret,3.0512961968881622e-05,3.4433208504230677e-06,2.047156442555209e-29,True
firm1*macro2,9.654190773029534e-06,1.5299761618241186e-06,3.26507977139305e-25,True
macro1_Recovery,4.162446634400249e-06,1.3043212338042228e-06,4.787981952831703e-17,True
firm3_lag_1,3.3286571517061245e-06,2.728506338131207e-06,1.690538703747963e-07,True
macro2_squared_rolling_min_20,2.5094455464267243e-07,2.0202166619778148e-08,1.2456159501070665e-33,True
firm1*macro2_cubed,4.5412223255516096e-08,2.1833428106448872e-08,2.371070153508551e-12,True
price/macro2_squared_rolling_high/low_20,6.473994174083231e-10,5.505767780747167e-11,6.0502330734638754e-33,True
firm_id_78,0.0,0.0,1.0,False
firm_id_77,0.0,0.0,1.0,False
firm_id_76,0.0,0.0,1.0,False
firm_id_75,0.0,0.0,1.0,False
firm_id_74,0.0,0.0,1.0,False
firm_id_73,0.0,0.0,1.0,False
firm_id_72,0.0,0.0,1.0,False
macro1_Expansion,0.0,0.0,1.0,False
firm_id_99,0.0,0.0,1.0,False
firm1*firm2,0.0,0.0,1.0,False
firm2*firm3,0.0,0.0,1.0,False
firm1*firm3,0.0,0.0,1.0,False
firm3*macro2,0.0,0.0,1.0,False
firm1*price,0.0,0.0,1.0,False
firm2*price,0.0,0.0,1.0,False
firm3*price,0.0,0.0,1.0,False
macro2*price,0.0,0.0,1.0,False
price/macro2,0.0,0.0,1.0,False
firm_id_84,0.0,0.0,1.0,False
firm3_squared,0.0,0.0,1.0,False
firm3_cubed,0.0,0.0,1.0,False
firm1*firm2_lag_1,0.0,0.0,1.0,False
firm1*firm2_squared,0.0,0.0,1.0,False
firm1*firm2_cubed,0.0,0.0,1.0,False
firm2*firm3_lag_1,0.0,0.0,1.0,False
firm2*firm3_squared,0.0,0.0,1.0,False
firm2*firm3_cubed,0.0,0.0,1.0,False
firm1*firm3_lag_1,0.0,0.0,1.0,False
firm1*firm3_squared,0.0,0.0,1.0,False
firm1*firm3_cubed,0.0,0.0,1.0,False
firm1*macro2_lag_1,0.0,0.0,1.0,False
price/firm2,0.0,0.0,1.0,False
price/firm3,0.0,0.0,1.0,False
macro1_Contraction,0.0,0.0,1.0,False
firm2*macro2_squared,0.0,0.0,1.0,False
firm2*macro2_cubed,0.0,0.0,1.0,False
firm3*macro2_lag_1,0.0,0.0,1.0,False
firm3*macro2_squared,0.0,0.0,1.0,False
firm3*macro2_cubed,0.0,0.0,1.0,False
firm1*price_lag_1,0.0,0.0,1.0,False
firm1*price_squared,0.0,0.0,1.0,False
firm1*price_cubed,0.0,0.0,1.0,False
firm2*price_lag_1,0.0,0.0,1.0,False
firm2*price_squared,0.0,0.0,1.0,False
firm2*price_cubed,0.0,0.0,1.0,False
firm3*price_lag_1,0.0,0.0,1.0,False
firm3*price_squared,0.0,0.0,1.0,False
firm2_squared,0.0,0.0,1.0,False
firm2_cubed,0.0,0.0,1.0,False
macro2*price_cubed,0.0,0.0,1.0,False
price/macro2_lag_1,0.0,0.0,1.0,False
price/macro2_squared,0.0,0.0,1.0,False
price/macro2_cubed,0.0,0.0,1.0,False
price/firm1_lag_1,0.0,0.0,1.0,False
price/firm1_squared,0.0,0.0,1.0,False
price/firm1_cubed,0.0,0.0,1.0,False
price/firm2_lag_1,0.0,0.0,1.0,False
price/firm2_squared,0.0,0.0,1.0,False
price/firm2_cubed,0.0,0.0,1.0,False
price/firm3_lag_1,0.0,0.0,1.0,False
price/firm3_squared,0.0,0.0,1.0,False
price/firm3_cubed,0.0,0.0,1.0,False
firm1*macro2_squared,0.0,0.0,1.0,False
firm2*macro2_lag_1,0.0,0.0,1.0,False
macro2_rolling_max_20,0.0,0.0,1.0,False
macro2_rolling_min_20,0.0,0.0,1.0,False
macro2_rolling_high/low_20,0.0,0.0,1.0,False
macro2_rolling_range_20,0.0,0.0,1.0,False
macro2_rolling_ret_20,0.0,0.0,1.0,False
price_rolling_avg_20,0.0,0.0,1.0,False
price_rolling_std_20,0.0,0.0,1.0,False
price_rolling_max_20,0.0,0.0,1.0,False
price_rolling_min_20,0.0,0.0,1.0,False
price_rolling_high/low_20,0.0,0.0,1.0,False
price_rolling_range_20,0.0,0.0,1.0,False
price_rolling_ret_20,0.0,0.0,1.0,False
firm1_rolling_avg_20,0.0,0.0,1.0,False
firm3*price_cubed,0.0,0.0,1.0,False
macro2*price_lag_1,0.0,0.0,1.0,False
macro2*price_squared,0.0,0.0,1.0,False
firm1_rolling_high/low_20,0.0,0.0,1.0,False
firm1_rolling_range_20,0.0,0.0,1.0,False
firm1_rolling_ret_20,0.0,0.0,1.0,False
firm2_rolling_avg_20,0.0,0.0,1.0,False
firm2_rolling_std_20,0.0,0.0,1.0,False
firm2_rolling_max_20,0.0,0.0,1.0,False
firm2_rolling_min_20,0.0,0.0,1.0,False
firm2_rolling_high/low_20,0.0,0.0,1.0,False
firm2_rolling_range_20,0.0,0.0,1.0,False
firm2_rolling_ret_20,0.0,0.0,1.0,False
firm3_rolling_avg_20,0.0,0.0,1.0,False
firm3_rolling_std_20,0.0,0.0,1.0,False
firm3_rolling_max_20,0.0,0.0,1.0,False
macro2_rolling_avg_20,0.0,0.0,1.0,False
macro2_rolling_std_20,0.0,0.0,1.0,False
firm3_rolling_ret_20,0.0,0.0,1.0,False
firm1*firm2_rolling_avg_20,0.0,0.0,1.0,False
firm1*firm2_rolling_std_20,0.0,0.0,1.0,False
firm1*firm2_rolling_max_20,0.0,0.0,1.0,False
firm1*firm2_rolling_min_20,0.0,0.0,1.0,False
firm1*firm2_rolling_high/low_20,0.0,0.0,1.0,False
firm1*firm2_rolling_range_20,0.0,0.0,1.0,False
firm1*firm2_rolling_ret_20,0.0,0.0,1.0,False
firm2*firm3_rolling_avg_20,0.0,0.0,1.0,False
firm2*firm3_rolling_std_20,0.0,0.0,1.0,False
firm2*firm3_rolling_max_20,0.0,0.0,1.0,False
firm2*firm3_rolling_min_20,0.0,0.0,1.0,False
firm2*firm3_rolling_high/low_20,0.0,0.0,1.0,False
firm1_rolling_std_20,0.0,0.0,1.0,False
firm1_rolling_max_20,0.0,0.0,1.0,False
firm1_rolling_min_20,0.0,0.0,1.0,False
firm1*firm3_rolling_std_20,0.0,0.0,1.0,False
firm1*firm3_rolling_max_20,0.0,0.0,1.0,False
firm1*firm3_rolling_min_20,0.0,0.0,1.0,False
firm1*firm3_rolling_high/low_20,0.0,0.0,1.0,False
firm1*firm3_rolling_range_20,0.0,0.0,1.0,False
firm1*firm3_rolling_ret_20,0.0,0.0,1.0,False
firm1*macro2_rolling_avg_20,0.0,0.0,1.0,False
firm1*macro2_rolling_std_20,0.0,0.0,1.0,False
firm1*macro2_rolling_max_20,0.0,0.0,1.0,False
firm1*macro2_rolling_min_20,0.0,0.0,1.0,False
firm1*macro2_rolling_high/low_20,0.0,0.0,1.0,False
firm1*macro2_rolling_range_20,0.0,0.0,1.0,False
firm1*macro2_rolling_ret_20,0.0,0.0,1.0,False
firm3_rolling_min_20,0.0,0.0,1.0,False
firm3_rolling_high/low_20,0.0,0.0,1.0,False
firm3_rolling_range_20,0.0,0.0,1.0,False
firm2*macro2_rolling_min_20,0.0,0.0,1.0,False
firm2*macro2_rolling_high/low_20,0.0,0.0,1.0,False
firm2*macro2_rolling_range_20,0.0,0.0,1.0,False
firm2*macro2_rolling_ret_20,0.0,0.0,1.0,False
firm3*macro2_rolling_avg_20,0.0,0.0,1.0,False
firm3*macro2_rolling_std_20,0.0,0.0,1.0,False
firm3*macro2_rolling_max_20,0.0,0.0,1.0,False
firm3*macro2_rolling_min_20,0.0,0.0,1.0,False
firm3*macro2_rolling_high/low_20,0.0,0.0,1.0,False
firm3*macro2_rolling_range_20,0.0,0.0,1.0,False
firm3*macro2_rolling_ret_20,0.0,0.0,1.0,False
firm1*price_rolling_avg_20,0.0,0.0,1.0,False
firm1*price_rolling_std_20,0.0,0.0,1.0,False
firm2*firm3_rolling_range_20,0.0,0.0,1.0,False
firm2*firm3_rolling_ret_20,0.0,0.0,1.0,False
firm1*firm3_rolling_avg_20,0.0,0.0,1.0,False
firm1*price_rolling_range_20,0.0,0.0,1.0,False
firm1*price_rolling_ret_20,0.0,0.0,1.0,False
firm2*price_rolling_avg_20,0.0,0.0,1.0,False
firm2*price_rolling_std_20,0.0,0.0,1.0,False
firm2*price_rolling_max_20,0.0,0.0,1.0,False
firm2*price_rolling_min_20,0.0,0.0,1.0,False
firm2*price_rolling_high/low_20,0.0,0.0,1.0,False
firm2*price_rolling_range_20,0.0,0.0,1.0,False
firm2*price_rolling_ret_20,0.0,0.0,1.0,False
firm3*price_rolling_avg_20,0.0,0.0,1.0,False
firm3*price_rolling_std_20,0.0,0.0,1.0,False
firm3*price_rolling_max_20,0.0,0.0,1.0,False
firm3*price_rolling_min_20,0.0,0.0,1.0,False
firm2*macro2_rolling_avg_20,0.0,0.0,1.0,False
firm2*macro2_rolling_std_20,0.0,0.0,1.0,False
firm2*macro2_rolling_max_20,0.0,0.0,1.0,False
firm3*price_rolling_ret_20,0.0,0.0,1.0,False
macro2*price_rolling_avg_20,0.0,0.0,1.0,False
macro2*price_rolling_std_20,0.0,0.0,1.0,False
macro2*price_rolling_max_20,0.0,0.0,1.0,False
macro2*price_rolling_min_20,0.0,0.0,1.0,False
macro2*price_rolling_high/low_20,0.0,0.0,1.0,False
macro2*price_rolling_range_20,0.0,0.0,1.0,False
macro2*price_rolling_ret_20,0.0,0.0,1.0,False
price/macro2_rolling_avg_20,0.0,0.0,1.0,False
price/macro2_rolling_std_20,0.0,0.0,1.0,False
price/macro2_rolling_min_20,0.0,0.0,1.0,False
price/macro2_rolling_high/low_20,0.0,0.0,1.0,False
price/macro2_rolling_range_20,0.0,0.0,1.0,False
firm1*price_rolling_max_20,0.0,0.0,1.0,False
firm1*price_rolling_min_20,0.0,0.0,1.0,False
firm1*price_rolling_high/low_20,0.0,0.0,1.0,False
price/firm1_rolling_std_20,0.0,0.0,1.0,False
price/firm1_rolling_max_20,0.0,0.0,1.0,False
price/firm1_rolling_min_20,0.0,0.0,1.0,False
price/firm1_rolling_high/low_20,0.0,0.0,1.0,False
price/firm1_rolling_range_20,0.0,0.0,1.0,False
price/firm1_rolling_ret_20,0.0,0.0,1.0,False
price/firm2_rolling_avg_20,0.0,0.0,1.0,False
price/firm2_rolling_std_20,0.0,0.0,1.0,False
price/firm2_rolling_max_20,0.0,0.0,1.0,False
price/firm2_rolling_min_20,0.0,0.0,1.0,False
price/firm2_rolling_high/low_20,0.0,0.0,1.0,False
