feature,importance_mean,importance_std,p_value,significant_0_05
firm2,62.68,7.2830497781047585,4.287909701811735e-189,True
macro2,59.705,6.354516061185092,1.3794366315466264e-196,True
macro2_lag_1,54.79,4.381998350951162,4.495269817996792e-221,True
firm1,48.825,5.838218820408743,1.1937868713023732e-186,True
firm3,33.795,5.678397307330608,7.806107049270467e-158,True
firm2_lag_1,27.77,4.272983964374194,2.9997289680945373e-165,True
firm2*macro2,25.375,4.582507158673785,8.789125096818432e-152,True
firm1_lag_1,21.7,4.157695534885161,7.726604800890453e-147,True
macro1_Contraction,21.545,3.801345305369306,9.869512520821431e-154,True
price_log_ret,19.315,3.9856242930092045,1.1374464937768605e-140,True
firm1*firm2,18.71,4.331246759590397,3.4992837594390226e-131,True
macro1_Trough,18.33,2.819725921318734,2.8543563338279395e-165,True
firm1*macro2,16.455,3.7521149814698984,2.0099824470236503e-132,True
firm2*price,15.41,4.289978974073177,3.3585453347867576e-116,True
firm3_lag_1,15.41,3.7526406113281,4.893511174142906e-127,True
firm3*price,12.145,3.824540567540606,2.1204012026848192e-106,True
firm1*firm3,11.92,3.2210987856529125,1.3563547587938067e-118,True
firm3*macro2,11.88,3.3528807084693812,4.213209735640098e-115,True
firm2_cubed,11.83,4.518093162955553,1.657407033420035e-91,True
firm2*firm3,10.74,3.2719916944028453,5.176941207938929e-109,True
firm1*price,9.22,2.960646405040356,7.233040786498002e-105,True
firm2*macro2_lag_1,9.165,2.997113351578656,1.9326440554644912e-103,True
firm1*price_lag_1,8.94,3.3589900372510426,9.601028938380191e-93,True
price,8.78,3.1957257887032338,3.665299167539267e-95,True
macro2_rolling_avg_20,8.68,3.2819898364303555,2.8939046401006558e-92,True
firm1_cubed,8.49,3.423228368413587,1.9384467841856905e-87,True
macro2_lag_1_rolling_std_20,8.395,2.8300212190905056,4.510835563616289e-101,True
macro2*price_lag_1,8.33,2.870942625304267,2.3417643629068776e-99,True
firm1*macro2_lag_1,7.975,2.757242632535875,4.09722919652127e-99,True
firm3*macro2_lag_1,6.895,2.5030584307078594,2.3109066835313156e-95,True
macro2_cubed,6.83,3.0689071271014163,1.6721639228397087e-79,True
macro2*price,6.825,2.751769645319995,1.924143500555845e-87,True
firm3*price_lag_1,6.365,2.573888011838791,3.1907382293316764e-87,True
firm2*price_lag_1,6.065,2.825009449888584,6.302530598749943e-77,True
firm2*firm3_lag_1,5.91,2.5817099238011356,1.5241956635903028e-81,True
macro2_cubed_rolling_avg_20,5.885,2.0695871459723247,8.427498170285045e-98,True
